14 Coccoloba  guanacastensis cocgua 21
14 Cordia panamensis corpan 1
14 Cupania guatemalensis cupgua 3
14 Guettarda macrosperma  guamac 2
14 Hymenaea courbaril hymcou 5
14 Ixora floribunda ixoflo 3
14 Malpighia glabra malgla 12
14 Lonchocarpus   loncho 1
14 Manilkara chicle manchi 8
14 Mouriri myrtilloides moumyr 100
14 Picramnia  quaternaria picqua 12
14 Samanea  saman samsam 1
14 Tabebuea ochracea taboch 1
14 Spondias  mombin spomom 2
14 Ficus  stranfig 5
14 Pseudobombax sudobomb pseudobom 1
14 Acosmium panamense acopan 3
14 Tetracera volubilis tetvol 5
14 Zanthoxylum setulosum zanset 1
